Aasta;Kategooria;..investeeringud, tuhat eurot;..tulud piletimüügist, tuhat eurot;Arvestuslikud inimtööaastad;Halduskulud, tuhat eurot;Costs and investments (thousands of euros);Muud kulud, tuhat eurot;Muud toetused, tuhat eurot;Omatulud, tuhat eurot;Tulud omavalitsuse eelarvest, tuhat eurot;Tulud riigieelarvest, tuhat eurot;Revenue (thousands of euros);Tööjõukulud, tuhat eurot
;Riigi- ja linnateatrid;..;6 794,65;..;4 860,12;52 535,39;12 395,89;837,61;11 108;4 725,89;38 082,83;54 754,34;35 279,37
;Teatrid kokku;..;7 890,19;..;5 708,44;58 752,77;14 547,54;1 056,27;12 942,70;5 002,87;42 238,65;61 240,48;38 496,79
2021;Muud teatrid;..;1 507,93;..;817,99;7 148,96;2 879,42;541,32;2 060,46;228,11;4 440,13;7 270,01;3 451,55
;Riigi- ja linnateatrid;..;5 543,72;..;5 559,02;54 771,11;12 880;1 266,36;9 451,49;2 392,05;40 995,30;54 105,20;36 332,09
;Teatrid kokku;..;7 051,65;..;6 377,01;61 920,07;15 759,42;1 807,68;11 511,95;2 620,16;45 435,43;61 375,21;39 783,64
2022;Muud teatrid;..;2 496;..;1 043,26;9 190,58;3 108,33;373,71;3 645,58;241,43;4 658,39;8 919,12;5 038,98
;Riigi- ja linnateatrid;..;11 344,68;..;5 455,41;63 664,78;19 434,39;867,09;17 635,67;6 577,65;37 674,22;62 754,64;38 774,97
;Teatrid kokku;..;13 840,68;..;6 498,68;72 855,36;22 542,73;1 240,80;21 281,26;6 819,08;42 332,61;71 673,75;43 813,95
2023;Muud teatrid;..;3 372,99;..;984,33;12 184,63;4 447,64;680,12;5 149,65;245,75;5 272,88;11 348,40;6 752,66
;Riigi- ja linnateatrid;..;15 441,17;..;5 301,02;73 103,21;22 406,82;163,05;23 266,80;9 379,81;41 558,85;74 368,51;45 395,36
;Teatrid kokku;..;18 814,17;..;6 285,35;85 287,83;26 854,46;843,17;28 416,45;9 625,56;46 831,72;85 716,91;52 148,03
