Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
;Muud teatrid;..tantsulavastus lastele;2;0;14;10;0,30;0,20;1,59
;Muud teatrid;..tragikomöödia;3;2;83;44;17,30;12,90;11,22
;Muud teatrid;Kokku;124;57;1 343;804;182,80;136,40;7,94
;Muud teatrid;Lastelavastus;30;10;366;308;33,30;24,90;2,49
;Muud teatrid;Muu lavastus;8;5;61;20;6,70;5;5,53
;Muud teatrid;Muusikalavastus;3;3;25;2;7,10;5,30;16,20
;Muud teatrid;Sõnalavastus;47;20;745;377;121,50;90,60;8,90
;Muud teatrid;Tantsulavastus;36;19;146;97;14,20;10,60;6,91
;Riigi- ja linnateatrid;..draama;118;44;1 377;213;262,40;195,70;9,67
;Riigi- ja linnateatrid;..klassikaline tants;9;1;59;3;26,60;19,90;9,90
;Riigi- ja linnateatrid;..komöödia;42;16;520;127;129,50;96,60;7,96
;Riigi- ja linnateatrid;..muu lastelavastus;2;0;12;1;2,70;2;4,15
;Riigi- ja linnateatrid;..muu muusikalavastus;3;1;33;10;28,30;21,10;15,63
;Riigi- ja linnateatrid;..muu sõnalavastus;8;5;132;12;20,70;15,50;9,22
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;..muusikal;4;1;44;4;22,40;16,70;11,34
;Riigi- ja linnateatrid;..muusikalavastus lastele;6;3;93;8;37,20;27,80;6,27
;Riigi- ja linnateatrid;..nukulavastus lastele;17;4;328;38;39,80;29,70;4,74
;Riigi- ja linnateatrid;..nüüdistants;6;0;33;5;4,80;3,60;6,54
;Riigi- ja linnateatrid;..ooper;15;3;111;2;47,90;35,70;11,75
;Riigi- ja linnateatrid;..operett;4;2;59;0;37,50;28;15,49
;Riigi- ja linnateatrid;..sõnalavastus lastele;22;9;303;47;86,30;64,30;4,99
;Riigi- ja linnateatrid;..tantsulavastus lastele;5;3;52;2;30;22,30;7,82
;Riigi- ja linnateatrid;..tragikomöödia;9;2;112;28;20,90;15,60;7,21
;Riigi- ja linnateatrid;Kokku;276;100;3 292;500;800,30;596,90;9,01
