Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
;Muud teatrid;..nukulavastus;..;..;..;..;15,60;..;..
;Muud teatrid;..nüüdistants;23;14;110;..;8,50;7,30;..
;Muud teatrid;..objektiteatri lavastus;..;..;..;..;0,30;12,80;..
;Muud teatrid;..ooper;0;0;0;..;0;0,50;..
;Muud teatrid;..operett;0;0;0;..;0;3,90;..
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;..;..;..;..;17,60;0,50;..
;Muud teatrid;..sõnalavastus lastele;..;..;..;..;..;0,80;..
;Muud teatrid;..tragikomöödia;6;4;43;..;5,30;56,50;..
;Muud teatrid;Kokku;173;89;1 936;964;212,70;27,60;8,90
;Muud teatrid;Lastelavastus;..;..;..;..;..;6,60;..
;Muud teatrid;Mitmeliigilavastus;28;23;305;119;20,40;0,20;7,23
;Muud teatrid;Muu lavastus;2;1;90;83;12,40;13,70;..
;Muud teatrid;Muusikalavastus;4;0;22;12;5;4,10;10,48
;Muud teatrid;Nuku- ja objektiteatri lavastus;11;5;202;162;16,50;..;3,75
;Muud teatrid;Sõnalavastus;102;44;1 198;519;149;0;9,40
;Muud teatrid;Tantsulavastus;26;16;119;69;9,50;0,80;5
;Riigi- ja linnateatrid;..draama;154;63;1 877;..;342,90;406,50;..
;Riigi- ja linnateatrid;..klassikaline tants;14;3;118;..;69,70;63,60;..
;Riigi- ja linnateatrid;..komöödia;46;13;596;..;163,20;265,70;..
;Riigi- ja linnateatrid;..muu muusikalavastus;4;2;27;..;16,70;103;..
;Riigi- ja linnateatrid;..muu sõnalavastus;2;0;8;..;0,50;14;..
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;..;4,10;6,50;..
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;..;..;..;..;7,50;11,60;..
;Riigi- ja linnateatrid;..muusikal;12;6;236;..;133;16,40;..
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;..;..;..;..;9;0;..
;Riigi- ja linnateatrid;..nukulavastus;..;..;..;..;42,70;40,10;..
;Riigi- ja linnateatrid;..nüüdistants;12;10;63;..;8,30;54;..
;Riigi- ja linnateatrid;..objektiteatri lavastus;..;..;..;..;0;33,10;..
;Riigi- ja linnateatrid;..ooper;18;3;97;..;44,20;166,60;..
;Riigi- ja linnateatrid;..operett;4;0;38;..;21,20;34,20;..
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;..;..;..;..;15;45;..
;Riigi- ja linnateatrid;..tragikomöödia;13;2;111;..;18;126,40;..
;Riigi- ja linnateatrid;Kokku;314;114;3 742;569;931,40;9,60;8,95
;Riigi- ja linnateatrid;Lastelavastus;..;..;..;..;..;3,20;..
;Riigi- ja linnateatrid;Mitmeliigilavastus;12;9;190;8;58,10;7;6,84
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;5,80;..
;Riigi- ja linnateatrid;Muusikalavastus;38;11;398;32;215;0,40;9,75
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;23;3;381;25;51,70;..;5,10
;Riigi- ja linnateatrid;Sõnalavastus;215;78;2 592;483;524,50;721,80;8,32
;Riigi- ja linnateatrid;Tantsulavastus;26;13;181;21;82,10;13;7,15
;Teatrid kokku;..draama;221;90;2 637;..;415,80;322,20;..
;Teatrid kokku;..klassikaline tants;14;3;118;..;69,70;54;..
;Teatrid kokku;..komöödia;73;25;973;..;233,30;180,80;..
;Teatrid kokku;..muu muusikalavastus;7;2;46;..;20,70;16;..
;Teatrid kokku;..muu sõnalavastus;4;1;26;..;1,20;0,90;..
;Teatrid kokku;..muu tantsulavastus;3;2;9;..;5,10;4;..
;Teatrid kokku;..muusika- ja liikumislavastus;..;..;..;..;8,20;6,40;..
;Teatrid kokku;..muusikal;13;6;239;..;134;103,90;..
;Teatrid kokku;..nuku- ja objektiteatri lavastus;..;..;..;..;9,60;7,50;..
;Teatrid kokku;..nukulavastus;..;..;..;..;58,30;45,20;..
;Teatrid kokku;..nüüdistants;35;24;173;..;16,80;13;..
;Teatrid kokku;..objektiteatri lavastus;..;..;..;..;0,30;0,20;..
;Teatrid kokku;..ooper;18;3;97;..;44,20;34,20;..
;Teatrid kokku;..operett;4;0;38;..;21,20;16,40;..
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;..;..;..;..;32,60;25,30;..
;Teatrid kokku;..tragikomöödia;19;6;154;..;23,30;18,10;..
;Teatrid kokku;Kokku;487;203;5 678;1 533;1 143;885,70;10,13
;Teatrid kokku;Mitmeliigilavastus;40;32;495;127;78,50;60,80;6,03
;Teatrid kokku;Muu lavastus;2;1;90;83;12,40;29,20;..
;Teatrid kokku;Muusikalavastus;42;11;420;44;220,10;170,50;10,75
;Teatrid kokku;Nuku- ja objektiteatri lavastus;34;8;583;187;68,20;52,90;4,47
;Teatrid kokku;Sõnalavastus;317;122;3 790;1 002;673,50;521,90;9,03
;Teatrid kokku;Tantsulavastus;52;29;300;90;91,60;71;9,30
2013;Muud teatrid;..draama;58;22;614;..;66,20;50,20;..
;Muud teatrid;..klassikaline tants;0;0;0;..;0;0;..
;Muud teatrid;..komöödia;31;15;519;..;92,20;70;..
;Muud teatrid;..muu;8;5;50;..;4,30;3,30;..
;Muud teatrid;..muu muusikalavastus;2;0;4;..;0,50;0,40;..
;Muud teatrid;..muu sõnalavastus;3;0;26;..;2,90;2,20;..
;Muud teatrid;..muu tantsulavastus;1;0;5;..;0,50;0,40;..
;Muud teatrid;..muusika- ja liikumislavastus;2;1;2;..;0,30;0,20;..
;Muud teatrid;..muusikal;0;0;0;..;0;0;..
;Muud teatrid;..nuku- ja objektiteatri lavastus;1;1;68;..;4,50;3,40;..
;Muud teatrid;..nukulavastus;10;2;224;..;17,50;13,30;..
;Muud teatrid;..nüüdistants;36;18;180;..;17,10;13;..
;Muud teatrid;..objektiteatri lavastus;1;0;4;..;0,20;0,20;..
;Muud teatrid;..ooper;1;1;4;..;0,90;0,70;..
;Muud teatrid;..operett;0;0;0;..;0;0;..
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;29;17;244;..;17,90;13,60;..
;Muud teatrid;..tragikomöödia;7;5;97;..;13,70;10,40;..
;Muud teatrid;Kokku;192;88;2 196;1 145;256,40;194,60;8,07
;Muud teatrid;Mitmeliigilavastus;39;23;296;92;22,60;17,10;7,20
;Muud teatrid;Muu lavastus;2;0;146;87;17,70;13,40;0
;Muud teatrid;Muusikalavastus;3;1;8;4;1,50;1,10;9,38
;Muud teatrid;Nuku- ja objektiteatri lavastus;12;3;296;248;22,20;16,90;3,77
;Muud teatrid;Sõnalavastus;99;42;1 256;626;174,90;132,70;7,59
;Muud teatrid;Tantsulavastus;37;18;185;88;17,60;13,30;4,94
;Riigi- ja linnateatrid;..draama;144;47;1 820;..;304,50;231,10;..
;Riigi- ja linnateatrid;..klassikaline tants;16;5;111;..;65,40;49,60;..
;Riigi- ja linnateatrid;..komöödia;45;15;584;..;148,30;112,50;..
;Riigi- ja linnateatrid;..muu;1;0;20;..;11,40;8,70;..
;Riigi- ja linnateatrid;..muu muusikalavastus;2;0;45;..;17;12,90;..
;Riigi- ja linnateatrid;..muu sõnalavastus;2;2;37;..;2;1,50;..
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;4;2;44;..;18,60;14,10;..
;Riigi- ja linnateatrid;..muusikal;13;4;206;..;124,40;94,40;..
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;4;0;52;..;5,30;4;..
;Riigi- ja linnateatrid;..nukulavastus;17;5;290;..;27,30;20,70;..
;Riigi- ja linnateatrid;..nüüdistants;5;3;31;..;5,90;4,40;..
;Riigi- ja linnateatrid;..objektiteatri lavastus;1;1;4;..;0,20;0,10;..
;Riigi- ja linnateatrid;..ooper;18;6;110;..;57,80;43,90;..
;Riigi- ja linnateatrid;..operett;3;0;24;..;13,30;10,10;..
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;9;4;116;..;19,30;14,60;..
;Riigi- ja linnateatrid;..tragikomöödia;14;4;113;..;13,60;10,40;..
;Riigi- ja linnateatrid;Kokku;298;98;3 607;543;834,30;633;9,41
;Riigi- ja linnateatrid;Mitmeliigilavastus;14;6;180;41;49,30;37,40;7,65
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;Muusikalavastus;36;10;385;38;212,50;161,20;10,30
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;22;6;346;41;32,80;24,90;9,97
;Riigi- ja linnateatrid;Sõnalavastus;205;68;2 554;413;468,50;355,40;9,11
;Riigi- ja linnateatrid;Tantsulavastus;21;8;142;10;71,30;54,10;7,70
;Teatrid kokku;..draama;202;69;2 434;..;370,70;281,30;..
;Teatrid kokku;..klassikaline tants;16;5;111;..;65,40;49,60;..
;Teatrid kokku;..komöödia;76;30;1 103;..;240,50;182,50;..
;Teatrid kokku;..muu;9;5;70;..;15,80;12;..
;Teatrid kokku;..muu muusikalavastus;4;0;49;..;17,50;13,30;..
;Teatrid kokku;..muu sõnalavastus;5;3;72;..;4,80;3,70;..
;Teatrid kokku;..muu tantsulavastus;1;0;5;..;0,50;0,40;..
;Teatrid kokku;..muusika- ja liikumislavastus;6;3;46;..;18,90;14,30;..
;Teatrid kokku;..muusikal;13;4;206;..;124,40;94,40;..
;Teatrid kokku;..nuku- ja objektiteatri lavastus;5;1;120;..;9,80;7,40;..
;Teatrid kokku;..nukulavastus;27;7;514;..;44,80;34;..
;Teatrid kokku;..nüüdistants;41;21;211;..;23;17,40;..
;Teatrid kokku;..objektiteatri lavastus;2;1;8;..;0,40;0,30;..
;Teatrid kokku;..ooper;19;7;114;..;58,80;44,60;..
;Teatrid kokku;..operett;3;0;24;..;13,30;10,10;..
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;38;21;360;..;37,20;28,20;..
;Teatrid kokku;..tragikomöödia;21;9;210;..;27,30;20,70;..
;Teatrid kokku;Kokku;490;186;5 803;1 688;1 090,70;827,50;10,53
;Teatrid kokku;Mitmeliigilavastus;53;29;476;133;71,80;54,50;9,19
;Teatrid kokku;Muu lavastus;2;0;146;87;17,70;13,40;..
;Teatrid kokku;Muusikalavastus;39;11;393;42;213,90;162,30;11,85
;Teatrid kokku;Nuku- ja objektiteatri lavastus;34;9;642;289;55;41,80;4,41
;Teatrid kokku;Sõnalavastus;310;117;3 828;1 039;643,40;488,10;9,45
;Teatrid kokku;Tantsulavastus;58;26;327;98;88,90;67,40;9,85
2014;Muud teatrid;..draama;76;30;765;..;79,90;60,80;..
;Muud teatrid;..klassikaline tants;0;0;0;..;0;0;..
;Muud teatrid;..komöödia;29;13;477;..;52,30;39,80;..
;Muud teatrid;..muu;14;9;115;..;6,50;4,90;..
;Muud teatrid;..muu muusikalavastus;1;0;3;..;0,40;0,30;..
;Muud teatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Muud teatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Muud teatrid;..muusika- ja liikumislavastus;6;5;45;..;4,80;3,60;..
;Muud teatrid;..muusikal;0;0;0;..;0;0;..
;Muud teatrid;..nuku- ja objektiteatri lavastus;2;1;41;..;2,50;1,90;..
;Muud teatrid;..nukulavastus;8;3;142;..;11;8,40;..
;Muud teatrid;..nüüdistants;32;14;166;..;13;9,90;..
;Muud teatrid;..objektiteatri lavastus;1;1;5;..;0,90;0,70;..
;Muud teatrid;..ooper;0;0;0;..;0;0;..
;Muud teatrid;..operett;0;0;0;..;0;0;..
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;21;14;168;..;14,80;11,30;..
;Muud teatrid;..tragikomöödia;7;3;98;..;13;9,90;..
;Muud teatrid;Kokku;200;95;2 163;1 098;214,50;163,20;7,47
;Muud teatrid;Mitmeliigilavastus;41;28;328;97;26,10;19,90;7,72
;Muud teatrid;Muu lavastus;3;2;138;102;15,50;11,80;9,60
;Muud teatrid;Muusikalavastus;1;0;3;3;0,40;0,30;2,30
;Muud teatrid;Nuku- ja objektiteatri lavastus;11;5;188;150;14,30;10,90;2,50
;Muud teatrid;Sõnalavastus;112;46;1 340;649;145,20;110,50;7,90
;Muud teatrid;Tantsulavastus;32;14;166;97;13;9,90;6
;Riigi- ja linnateatrid;..draama;149;52;1 946;..;321,70;244,70;..
;Riigi- ja linnateatrid;..klassikaline tants;15;2;92;..;51,40;39,10;..
;Riigi- ja linnateatrid;..komöödia;46;16;634;..;177,20;134,80;..
;Riigi- ja linnateatrid;..muu;2;0;14;..;2,30;1,80;..
;Riigi- ja linnateatrid;..muu muusikalavastus;1;0;5;..;1,50;1,10;..
;Riigi- ja linnateatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;4;1;14;..;6,70;5,10;..
;Riigi- ja linnateatrid;..muusikal;12;1;132;..;81,10;61,70;..
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;6;1;82;..;6,20;4,70;..
;Riigi- ja linnateatrid;..nukulavastus;21;6;402;..;43,50;33,10;..
;Riigi- ja linnateatrid;..nüüdistants;7;4;38;..;10,40;7,90;..
;Riigi- ja linnateatrid;..objektiteatri lavastus;1;0;10;..;1,20;0,90;..
;Riigi- ja linnateatrid;..ooper;18;4;123;..;55,80;42,40;..
;Riigi- ja linnateatrid;..operett;3;1;45;..;30,80;23,40;..
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;13;8;162;..;25,20;19,10;..
;Riigi- ja linnateatrid;..tragikomöödia;13;5;148;..;17,70;13,40;..
;Riigi- ja linnateatrid;Kokku;311;101;3 847;731;832,60;633,40;10,67
;Riigi- ja linnateatrid;Mitmeliigilavastus;19;9;190;40;34,20;26;8,64
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;Muusikalavastus;34;6;305;55;169,20;128,70;13,57
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;28;7;494;93;50,90;38,70;5,45
;Riigi- ja linnateatrid;Sõnalavastus;208;73;2 728;534;516,60;393;10,30
;Riigi- ja linnateatrid;Tantsulavastus;22;6;130;9;61,70;47;11,10
;Teatrid kokku;..draama;225;82;2 711;..;401,60;305,50;..
;Teatrid kokku;..klassikaline tants;15;2;92;..;51,40;39,10;..
;Teatrid kokku;..komöödia;75;29;1 111;..;229,50;174,60;..
;Teatrid kokku;..muu;16;9;129;..;8,80;6,70;..
;Teatrid kokku;..muu muusikalavastus;2;0;8;..;1,90;1,40;..
;Teatrid kokku;..muu sõnalavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muu tantsulavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muusika- ja liikumislavastus;10;6;59;..;11,40;8,70;..
;Teatrid kokku;..muusikal;12;1;132;..;81,10;61,70;..
;Teatrid kokku;..nuku- ja objektiteatri lavastus;8;2;123;..;8,70;6,60;..
;Teatrid kokku;..nukulavastus;29;9;544;..;54,50;41,50;..
;Teatrid kokku;..nüüdistants;39;18;204;..;23,40;17,80;..
;Teatrid kokku;..objektiteatri lavastus;2;1;15;..;2;1,60;..
;Teatrid kokku;..ooper;18;4;123;..;55,80;42,40;..
;Teatrid kokku;..operett;3;1;45;..;30,80;23,40;..
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;34;22;330;..;40;30,40;..
;Teatrid kokku;..tragikomöödia;20;8;246;..;30,70;23,30;..
;Teatrid kokku;Kokku;511;196;6 010;1 829;1 047,10;796,60;10,20
;Teatrid kokku;Mitmeliigilavastus;60;37;518;137;60,30;45,80;8,44
;Teatrid kokku;Muu lavastus;3;2;138;102;15,50;11,80;9,60
;Teatrid kokku;Muusikalavastus;35;6;308;58;169,60;129;13,54
;Teatrid kokku;Nuku- ja objektiteatri lavastus;39;12;682;243;65,20;49,60;4,92
;Teatrid kokku;Sõnalavastus;320;119;4 068;1 183;661,80;503,40;9,91
;Teatrid kokku;Tantsulavastus;54;20;296;106;74,80;56,90;10,64
2015;Muud teatrid;..draama;101;52;966;..;99,90;76;..
;Muud teatrid;..klassikaline tants;1;1;15;..;0,50;0,40;..
;Muud teatrid;..komöödia;38;19;576;..;73,40;55,80;..
;Muud teatrid;..muu;14;6;99;..;8,70;6,60;..
;Muud teatrid;..muu muusikalavastus;3;2;15;..;5,80;4,40;..
;Muud teatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Muud teatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Muud teatrid;..muusika- ja liikumislavastus;5;3;93;..;11,90;9,10;..
;Muud teatrid;..muusikal;2;2;32;..;12,50;9,50;..
;Muud teatrid;..nuku- ja objektiteatri lavastus;1;1;25;..;1,80;1,40;..
;Muud teatrid;..nukulavastus;10;2;191;..;14,70;11,20;..
;Muud teatrid;..nüüdistants;32;18;207;..;19,60;14,90;..
;Muud teatrid;..objektiteatri lavastus;4;3;30;..;2,20;1,60;..
;Muud teatrid;..ooper;1;0;2;..;0,10;0,10;..
;Muud teatrid;..operett;0;0;0;..;0;0;..
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;27;11;226;..;19,70;15;..
;Muud teatrid;..tragikomöödia;5;1;48;..;4,70;3,50;..
;Muud teatrid;Kokku;245;121;2 601;1 303;286,90;218,30;8,16
;Muud teatrid;Mitmeliigilavastus;46;20;418;209;40,30;30,70;7,18
;Muud teatrid;Muu lavastus;1;0;76;63;11,50;8,70;3
;Muud teatrid;Muusikalavastus;6;4;49;7;18,50;14,10;9,92
;Muud teatrid;Nuku- ja objektiteatri lavastus;15;6;246;214;18,60;14,20;2,90
;Muud teatrid;Sõnalavastus;144;72;1 590;697;177,90;135,30;9,04
;Muud teatrid;Tantsulavastus;33;19;222;113;20,20;15,30;8,18
;Riigi- ja linnateatrid;..draama;142;55;1 952;..;325,30;247,50;..
;Riigi- ja linnateatrid;..klassikaline tants;14;4;106;..;68,20;51,90;..
;Riigi- ja linnateatrid;..komöödia;51;10;618;..;158,90;120,90;..
;Riigi- ja linnateatrid;..muu;2;2;22;..;1,20;0,90;..
;Riigi- ja linnateatrid;..muu muusikalavastus;1;1;5;..;0,50;0,40;..
;Riigi- ja linnateatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;2;0;8;..;3,50;2,70;..
;Riigi- ja linnateatrid;..muusikal;12;3;125;..;73,50;55,90;..
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;6;1;89;..;6,90;5,30;..
;Riigi- ja linnateatrid;..nukulavastus;20;1;407;..;38,20;29,10;..
;Riigi- ja linnateatrid;..nüüdistants;5;2;37;..;10;7,60;..
;Riigi- ja linnateatrid;..objektiteatri lavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..ooper;19;3;93;..;49,10;37,30;..
;Riigi- ja linnateatrid;..operett;4;2;62;..;40;30,40;..
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;16;8;207;..;68,60;52,20;..
;Riigi- ja linnateatrid;..tragikomöödia;11;3;102;..;15,80;12;..
;Riigi- ja linnateatrid;Kokku;305;95;3 833;953;859,60;653,90;11,13
;Riigi- ja linnateatrid;Mitmeliigilavastus;20;10;237;75;73,30;55,70;11,24
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;Muusikalavastus;36;9;285;39;163;124;13,57
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;26;2;496;270;45,10;34,30;5,13
;Riigi- ja linnateatrid;Sõnalavastus;204;68;2 672;553;500;380,30;10,75
;Riigi- ja linnateatrid;Tantsulavastus;19;6;143;16;78,30;59,50;12,52
;Teatrid kokku;..draama;243;107;2 918;..;425,20;323,40;..
;Teatrid kokku;..klassikaline tants;15;5;121;..;68,80;52,30;..
;Teatrid kokku;..komöödia;89;29;1 194;..;232,30;176,70;..
;Teatrid kokku;..muu;16;8;121;..;9,90;7,50;..
;Teatrid kokku;..muu muusikalavastus;4;3;20;..;6,30;4,80;..
;Teatrid kokku;..muu sõnalavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muu tantsulavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muusika- ja liikumislavastus;7;3;101;..;15,40;11,70;..
;Teatrid kokku;..muusikal;14;5;157;..;86;65,40;..
;Teatrid kokku;..nuku- ja objektiteatri lavastus;7;2;114;..;8,70;6,60;..
;Teatrid kokku;..nukulavastus;30;3;598;..;52,90;40,20;..
;Teatrid kokku;..nüüdistants;37;20;244;..;29,60;22,50;..
;Teatrid kokku;..objektiteatri lavastus;4;3;30;..;2,20;1,60;..
;Teatrid kokku;..ooper;20;3;95;..;49,20;37,40;..
;Teatrid kokku;..operett;4;2;62;..;40;30,40;..
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;43;19;433;..;88,30;67,10;..
;Teatrid kokku;..tragikomöödia;16;4;150;..;20,40;15,50;..
;Teatrid kokku;Kokku;550;216;6 434;2 256;1 146,60;872,20;10,60
;Teatrid kokku;Mitmeliigilavastus;66;30;655;284;113,60;86,40;10,67
;Teatrid kokku;Muu lavastus;1;0;76;63;11,50;8,70;3
;Teatrid kokku;Muusikalavastus;42;13;334;46;181,50;138,10;13,14
;Teatrid kokku;Nuku- ja objektiteatri lavastus;41;8;742;484;63,80;48,50;4,57
;Teatrid kokku;Sõnalavastus;348;140;4 262;1 250;677,90;515,70;10,43
;Teatrid kokku;Tantsulavastus;52;25;365;129;98,40;74,90;12,18
2016;Muud teatrid;..draama;103;46;1 205;..;114,30;86,80;..
;Muud teatrid;..klassikaline tants;2;1;10;..;1,30;1;..
;Muud teatrid;..komöödia;40;14;584;..;83,60;63,50;..
;Muud teatrid;..muu;12;7;73;..;4,30;3,30;..
;Muud teatrid;..muu muusikalavastus;0;0;0;..;0;0;..
;Muud teatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Muud teatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Muud teatrid;..muusika- ja liikumislavastus;8;5;125;..;20,30;15,40;..
;Muud teatrid;..muusikal;2;2;34;..;12,10;9,20;..
;Muud teatrid;..nuku- ja objektiteatri lavastus;0;0;0;..;0;0;..
;Muud teatrid;..nukulavastus;12;5;241;..;18,40;13,90;..
;Muud teatrid;..nüüdistants;23;12;148;..;13;9,90;..
;Muud teatrid;..objektiteatri lavastus;4;2;24;..;10,30;7,80;..
;Muud teatrid;..ooper;0;0;0;..;0;0;..
;Muud teatrid;..operett;0;0;0;..;0;0;..
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;22;13;252;..;19,60;14,90;..
;Muud teatrid;..tragikomöödia;4;1;43;..;3,90;3;..
;Muud teatrid;Kokku;233;108;2 827;1 493;312,40;237,40;8,82
;Muud teatrid;Mitmeliigilavastus;42;25;450;152;44,20;33,60;8,83
;Muud teatrid;Muu lavastus;1;0;88;72;11,50;8,70;3,64
;Muud teatrid;Muusikalavastus;2;2;34;7;12,10;9,20;6,90
;Muud teatrid;Nuku- ja objektiteatri lavastus;16;7;265;237;28,70;21,80;4,41
;Muud teatrid;Sõnalavastus;147;61;1 832;941;201,80;153,40;10,08
;Muud teatrid;Tantsulavastus;25;13;158;84;14,30;10,90;7,55
;Riigi- ja linnateatrid;..draama;141;42;1 806;..;314,20;238,80;..
;Riigi- ja linnateatrid;..klassikaline tants;17;6;135;..;69,50;52,80;..
;Riigi- ja linnateatrid;..komöödia;45;14;626;..;166,70;126,70;..
;Riigi- ja linnateatrid;..muu;3;1;53;..;1,90;1,40;..
;Riigi- ja linnateatrid;..muu muusikalavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muu sõnalavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;1;0;2;..;1,10;0,80;..
;Riigi- ja linnateatrid;..muusikal;11;2;187;..;111,30;84,60;..
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;5;1;60;..;6;4,60;..
;Riigi- ja linnateatrid;..nukulavastus;22;1;344;..;26,80;20,30;..
;Riigi- ja linnateatrid;..nüüdistants;5;1;36;..;9;6,80;..
;Riigi- ja linnateatrid;..objektiteatri lavastus;0;0;0;..;0;0;..
;Riigi- ja linnateatrid;..ooper;20;4;100;..;51,10;38,80;..
;Riigi- ja linnateatrid;..operett;5;0;42;..;24,50;18,60;..
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;18;9;206;..;57,30;43,50;..
;Riigi- ja linnateatrid;..tragikomöödia;14;7;149;..;34,30;26,10;..
;Riigi- ja linnateatrid;Kokku;307;88;3 746;1 051;873,60;663,90;12,21
;Riigi- ja linnateatrid;Mitmeliigilavastus;22;10;261;95;60,20;45,80;9,76
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;Muusikalavastus;36;6;329;34;186,80;142;17,06
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;27;2;404;326;32,80;24,90;5,06
;Riigi- ja linnateatrid;Sõnalavastus;200;63;2 581;585;515,20;391,60;11,07
;Riigi- ja linnateatrid;Tantsulavastus;22;7;171;11;78,50;59,70;13,29
;Teatrid kokku;..draama;244;88;3 011;..;428,50;325,60;..
;Teatrid kokku;..klassikaline tants;19;7;145;..;70,80;53,80;..
;Teatrid kokku;..komöödia;85;28;1 210;..;250,30;190,20;..
;Teatrid kokku;..muu;15;8;126;..;6,20;4,70;..
;Teatrid kokku;..muu muusikalavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muu sõnalavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muu tantsulavastus;0;0;0;..;0;0;..
;Teatrid kokku;..muusika- ja liikumislavastus;9;5;127;..;21,30;16,20;..
;Teatrid kokku;..muusikal;13;4;221;..;123,40;93,80;..
;Teatrid kokku;..nuku- ja objektiteatri lavastus;5;1;60;..;6;4,60;..
;Teatrid kokku;..nukulavastus;34;6;585;..;45,10;34,30;..
;Teatrid kokku;..nüüdistants;28;13;184;..;22;16,70;..
;Teatrid kokku;..objektiteatri lavastus;4;2;24;..;10,30;7,80;..
;Teatrid kokku;..ooper;20;4;100;..;51,10;38,80;..
;Teatrid kokku;..operett;5;0;42;..;24,50;18,60;..
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;40;22;458;..;76,90;58,40;..
;Teatrid kokku;..tragikomöödia;18;8;192;..;38,20;29,10;..
;Teatrid kokku;Kokku;540;196;6 573;2 544;1 186;901,40;11
;Teatrid kokku;Mitmeliigilavastus;64;35;711;247;104,40;79,30;9,58
;Teatrid kokku;Muu lavastus;1;0;88;72;11,50;8,70;3,64
;Teatrid kokku;Muusikalavastus;38;8;363;41;198,90;151,20;16,44
;Teatrid kokku;Nuku- ja objektiteatri lavastus;43;9;669;563;61,50;46,70;4,44
;Teatrid kokku;Sõnalavastus;347;124;4 413;1 526;717;544,90;10,82
;Teatrid kokku;Tantsulavastus;47;20;329;95;92,80;70,50;12,67
2017;Muud teatrid;..draama;90;32;1 059;..;111,20;84,40;..
;Muud teatrid;..klassikaline tants;3;1;11;..;1,10;0,90;..
;Muud teatrid;..komöödia;42;17;667;..;79,40;60,30;..
;Muud teatrid;..muu;10;4;201;..;9,70;7,40;..
;Muud teatrid;..muu muusikalavastus;5;3;21;..;5;3,80;..
